"Disease","Report Year","DHBName","Age Group (year)","Case Count","Case rate per 100,000"
"Arboviral diseases",2006,"Waitemata","30–34",0,0
"Rubella",2006,"Waitemata","30–34",0,0
"Meningococcal disease",2006,"Waitemata","30–34",1,2.9
"Haemophilus influenzae type b",2006,"Waitemata","30–34",0,0
"Rickettsial disease",2006,"Waitemata","30–34",0,0
"Legionellosis",2006,"Waitemata","30–34",0,0
"Malaria",2006,"Waitemata","30–34",0,0
"Pertussis",2006,"Waitemata","30–34",2,5.9
"Leprosy",2006,"Waitemata","30–34",0,0
"Hepatitis C",2006,"Waitemata","30–34",1,2.9
"Tuberculosis disease",2006,"Waitemata","30–34",3,8.8
"Giardiasis",2006,"Waitemata","30–34",12,35.3
"Paratyphoid fever",2006,"Waitemata","30–34",0,0
"Acute gastroenteritis",2006,"Waitemata","30–34",7,20.6
"Cholera",2006,"Waitemata","30–34",0,0
"Campylobacteriosis",2006,"Waitemata","30–34",169,497
"Tetanus",2006,"Waitemata","30–34",0,0
"VTEC/STEC infection",2006,"Waitemata","30–34",1,2.9
"Hepatitis NOS",2006,"Waitemata","30–34",0,0
"Cysticercosis",2006,"Waitemata","30–34",0,0
"Meningoencephalitis - primary amoebic",2006,"Waitemata","30–34",0,0
"Rheumatic fever",2006,"Waitemata","30–34",0,0
"Leptospirosis",2006,"Waitemata","30–34",0,0
"Shigellosis",2006,"Waitemata","30–34",1,2.9
"Q fever",2006,"Waitemata","30–34",0,0
"Poliomyelitis",2006,"Waitemata","30–34",0,0
"Salmonellosis",2006,"Waitemata","30–34",6,17.6
"Mumps",2006,"Waitemata","30–34",0,0
"Mpox",2006,"Waitemata","30–34",0,0
"Diphtheria",2006,"Waitemata","30–34",0,0
"Hepatitis B",2006,"Waitemata","30–34",0,0
"Taeniasis",2006,"Waitemata","30–34",0,0
"Toxic shellfish poisoning",2006,"Waitemata","30–34",0,0
"Trichinosis",2006,"Waitemata","35–39",0,0
"Invasive pneumococcal disease",2006,"Waitemata","35–39",0,0
"Yersiniosis",2006,"Waitemata","35–39",4,10.1
"Haemophilus influenzae type b",2006,"Waitemata","35–39",0,0
"Paratyphoid fever",2006,"Waitemata","35–39",0,0
"Hydatid disease",2006,"Waitemata","35–39",0,0
"Typhoid fever",2006,"Waitemata","35–39",0,0
"Leprosy",2006,"Waitemata","35–39",0,0
"Campylobacteriosis",2006,"Waitemata","35–39",161,406.5
"Listeriosis",2006,"Waitemata","35–39",0,0
"Hepatitis A",2006,"Waitemata","35–39",2,5
